"Email Address","Alias","Display Name","First Name","Last Name","Company","Department","OU","Last Logon Time","Server Name","Database","When Mailbox Created","Mailbox Size In MB","Item Count","Prohibit Send Receive Quota","UseDatabaseQuotaDefaults","Last Modified","Hidden From GAL","Single Item Recovery Enabled","Junk Enabled","Owner"
"User3@canada.ca","User3","User3","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:05 PM","0","20","Unlimited","True","10/13/2018 12:10:39 AM","False","False","True",""
"User5@canada.ca","User5","User5","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:05 PM","0","26","Unlimited","True","10/13/2018 12:10:39 AM","False","False","True",""
"User7@canada.ca","User7","User7","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:06 PM","0","31","Unlimited","True","10/13/2018 12:10:39 AM","False","False","True",""
"User9@canada.ca","User9","User9","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:07 PM","0","28","Unlimited","True","10/13/2018 12:10:39 AM","False","False","True",""
"User11@canada.ca","User11","User11","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:08 PM","0","28","Unlimited","True","10/13/2018 12:10:39 AM","False","False","True",""
"User12@canada.ca","User12","User12","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:08 PM","0","32","Unlimited","True","10/13/2018 12:10:39 AM","False","False","True",""
"User19@canada.ca","User19","User19","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:11 PM","0","31","Unlimited","True","10/13/2018 12:10:40 AM","False","False","True",""
"User28@canada.ca","User28","User28","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:14 PM","0","23","Unlimited","True","10/13/2018 12:10:40 AM","False","False","True",""
"User34@canada.ca","User34","User34","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:17 PM","0","18","Unlimited","True","10/13/2018 12:10:40 AM","False","False","True",""
"User37@canada.ca","User37","User37","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:18 PM","0","18","Unlimited","True","10/13/2018 12:10:40 AM","False","False","True",""
"User50@canada.ca","User50","User50","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:23 PM","0","27","Unlimited","True","10/13/2018 12:10:41 AM","False","False","True",""
"User58@canada.ca","User58","User58","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:26 PM","0","18","Unlimited","True","10/13/2018 12:10:41 AM","False","False","True",""
"User60@canada.ca","User60","User60","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:27 PM","0","21","Unlimited","True","10/13/2018 12:10:42 AM","False","False","True",""
"User64@canada.ca","User64","User64","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:29 PM","0","27","Unlimited","True","10/13/2018 12:10:42 AM","False","False","True",""
"User83@canada.ca","User83","User83","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:36 PM","0","18","Unlimited","True","10/13/2018 12:10:43 AM","False","False","True",""
"User95@canada.ca","User95","User95","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:41 PM","0","21","Unlimited","True","10/13/2018 12:10:43 AM","False","False","True",""
"User99@canada.ca","User99","User99","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:43 PM","0","25","Unlimited","True","10/13/2018 12:10:43 AM","False","False","True",""
"User100@canada.ca","User100","User100","","","","","canada.ca/Users",,"E2016-01","First Database","9/13/2018 2:02:43 PM","0","23","Unlimited","True","10/13/2018 12:10:43 AM","False","False","True",""
"Room02@canada.ca","Room02","Room02","","","","","canada.ca/Users",,"E2016-01","First Database","11/21/2018 1:18:46 PM","0","21","Unlimited","True","8/6/2019 8:18:27 AM","False","False","True",""
"Room04@canada.ca","Room04","Room04","","","","","canada.ca/Users",,"E2016-01","First Database","11/21/2018 1:18:47 PM","0","21","Unlimited","True","8/6/2019 8:18:29 AM","False","False","True",""
"Room08@canada.ca","Room08","Room08","","","","","canada.ca/Users",,"E2016-01","First Database","11/21/2018 1:18:48 PM","0","21","Unlimited","True","8/6/2019 8:18:34 AM","False","False","True",""
"Room09@canada.ca","Room09","Room09","","","","","canada.ca/Users",,"E2016-01","First Database","11/21/2018 1:18:49 PM","0","21","Unlimited","True","8/6/2019 8:18:34 AM","False","False","True",""
"Equipment05@canada.ca","Equipment05","Equipment05","","","","","canada.ca/Users",,"E2016-01","First Database","11/21/2018 1:19:07 PM","0","21","Unlimited","True","8/6/2019 8:18:40 AM","False","False","True",""
"Equipment07@canada.ca","Equipment07","Equipment07","","","","","canada.ca/Users",,"E2016-01","First Database","11/21/2018 1:19:08 PM","0","21","Unlimited","True","8/6/2019 8:18:41 AM","False","False","True",""
"User13@canada.ca","User13","User13","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:09 PM","0","23","Unlimited","True","10/13/2018 12:10:39 AM","False","False","True",""
"User14@canada.ca","User14","User14","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:09 PM","0","27","Unlimited","True","10/13/2018 12:10:39 AM","False","False","True",""
"User18@canada.ca","User18","User18","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:10 PM","0","31","Unlimited","True","10/13/2018 12:10:40 AM","False","False","True",""
"User30@canada.ca","User30","User30","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:15 PM","0","21","Unlimited","True","10/13/2018 12:10:40 AM","False","False","True",""
"User32@canada.ca","User32","User32","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:16 PM","0","27","Unlimited","True","10/13/2018 12:10:40 AM","False","False","True",""
"User35@canada.ca","User35","User35","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:17 PM","0","23","Unlimited","True","10/13/2018 12:10:40 AM","False","False","True",""
"User51@canada.ca","User51","User51","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:24 PM","0","21","Unlimited","True","10/13/2018 12:10:41 AM","False","False","True",""
"User55@canada.ca","User55","User55","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:25 PM","0","21","Unlimited","True","10/13/2018 12:10:41 AM","False","False","True",""
"User61@canada.ca","User61","User61","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:27 PM","0","23","Unlimited","True","10/13/2018 12:10:42 AM","False","False","True",""
"User62@canada.ca","User62","User62","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:28 PM","0","22","Unlimited","True","10/13/2018 12:10:42 AM","False","False","True",""
"User71@canada.ca","User71","User71","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:31 PM","0","31","Unlimited","True","10/13/2018 12:10:42 AM","False","False","True",""
"User77@canada.ca","User77","User77","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:34 PM","0","23","Unlimited","True","10/13/2018 12:10:42 AM","False","False","True",""
"User79@canada.ca","User79","User79","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:35 PM","0","21","Unlimited","True","10/13/2018 12:10:42 AM","False","False","True",""
"User88@canada.ca","User88","User88","","","","","canada.ca/Users",,"E2016-02","DB02","9/13/2018 2:02:38 PM","0","31","Unlimited","True","10/13/2018 12:10:43 AM","False","False","True",""
